order_purchase_timestamp,order_delivered_customer_date,delivery_time,review_score,category_clean
2018-07-24 20:41:37,2018-08-07 15:27:45,13,4,Perfumery
2018-06-07 19:03:12,2018-06-21 15:34:32,13,5,Perfumery
2018-08-09 11:44:40,2018-08-13 18:24:27,4,5,Stationery
2018-06-04 00:00:13,2018-06-16 15:20:55,12,1,Baby
2018-06-04 00:00:13,2018-06-16 15:20:55,12,1,Baby
2018-04-16 21:15:39,2018-05-05 12:28:34,18,1,Air Conditioning
2018-06-01 12:23:13,2018-06-18 21:32:52,17,5,Health Beauty
2018-07-29 11:24:17,2018-08-02 22:09:11,4,5,Sports Leisure
2018-07-26 14:39:59,2018-07-31 22:26:55,5,1,Sports Leisure
2018-07-26 14:39:59,2018-07-31 22:26:55,5,1,Sports Leisure
2018-06-11 10:25:52,2018-06-19 00:31:13,7,5,Perfumery
2018-04-22 08:48:13,2018-04-24 19:31:58,2,4,Computers Accessories
2018-04-22 08:48:13,2018-04-24 19:31:58,2,4,Luggage Accessories
2018-07-15 08:33:19,2018-07-24 16:41:18,9,3,Food
2018-05-01 08:12:37,2018-05-04 14:02:26,3,4,Telephony
2018-04-11 22:32:31,2018-04-27 23:14:42,16,1,Computers Accessories
2018-04-22 23:23:18,2018-04-30 17:57:25,7,5,Telephony
2018-05-14 08:35:33,2018-05-18 14:48:38,4,5,Furniture Decor
2018-08-26 11:04:26,2018-08-28 21:06:31,2,5,Housewares
2018-07-30 22:41:44,2018-08-03 19:28:47,3,5,Health Beauty
2018-08-22 16:10:29,2018-08-28 14:52:43,5,5,Stationery
2018-08-22 16:10:29,2018-08-28 14:52:43,5,5,Stationery
2018-07-06 23:36:15,2018-07-13 17:18:42,6,5,Health Beauty
2018-05-09 18:27:00,2018-05-22 00:08:26,12,4,Cool Stuff
2018-08-20 18:24:30,2018-08-28 13:43:41,7,5,Watches Gifts
2018-04-25 22:18:10,2018-04-27 16:50:03,1,1,Bed Bath Table
2018-07-05 18:40:47,2018-07-11 21:16:47,6,1,Sports Leisure
2018-07-05 18:40:47,2018-07-11 21:16:47,6,1,Health Beauty
2018-02-21 17:15:49,2018-03-22 00:03:53,28,1,Garden Tools
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-05-11 16:35:19,2018-05-15 18:38:39,4,5,Construction Tools Lights
2018-07-02 12:54:20,2018-07-06 11:52:07,3,5,Food
2018-06-01 11:26:06,2018-06-05 17:44:39,4,5,Books Technical
2018-06-01 11:26:06,2018-06-05 17:44:39,4,5,Costruction Tools Garden
2018-07-15 12:37:12,2018-07-23 23:56:47,8,5,Electronics
2018-08-03 22:23:06,2018-08-14 18:16:42,10,5,Computers Accessories
2018-05-04 10:29:14,2018-05-16 20:37:03,12,1,Health Beauty
2018-05-04 10:29:14,2018-05-16 20:37:03,12,1,Health Beauty
2018-05-08 14:38:14,2018-05-09 15:15:10,1,5,Stationery
2018-06-16 19:05:54,2018-06-26 17:08:45,9,4,Auto
2018-06-06 14:21:47,2018-06-15 14:28:27,9,5,Watches Gifts
2018-08-08 10:49:59,2018-08-16 19:18:51,8,5,Kitchen Dining Laundry Garden Furniture
2018-08-01 14:58:41,2018-08-15 00:18:53,13,2,Baby
2018-04-18 15:40:36,2018-05-03 13:03:03,14,5,Home Appliances 2
2018-05-14 11:04:55,2018-05-21 20:32:38,7,4,Bed Bath Table
2018-06-26 10:58:48,2018-07-07 17:37:38,11,1,Computers Accessories
2018-06-26 10:58:48,2018-07-07 17:37:38,11,1,Computers Accessories
2018-08-11 20:58:44,2018-08-20 22:57:43,9,5,Telephony
2018-05-09 17:11:41,2018-05-21 15:38:36,11,5,Health Beauty
2018-05-09 17:11:41,2018-05-21 15:38:36,11,5,Health Beauty
2018-04-22 14:26:17,2018-05-20 18:19:35,28,5,Watches Gifts
2018-07-22 06:24:50,2018-07-30 18:05:46,8,5,Watches Gifts
2018-05-24 12:16:48,2018-06-04 17:16:36,11,5,Sports Leisure
2018-06-23 19:24:21,2018-07-09 18:21:32,15,5,Auto
2018-05-04 21:40:39,2018-05-16 19:08:52,11,4,Auto
2018-06-11 13:00:02,2018-06-25 15:26:32,14,4,Watches Gifts
2018-05-19 12:14:08,2018-06-01 19:41:03,13,5,Watches Gifts
2018-08-01 16:37:54,2018-08-11 15:54:34,9,5,Office Furniture
2018-06-19 13:22:15,2018-06-25 13:11:20,5,2,Garden Tools
2018-06-19 13:22:15,2018-06-25 13:11:20,5,2,Garden Tools
2018-07-04 16:49:21,2018-07-07 14:41:18,2,3,Health Beauty
2018-07-04 16:49:21,2018-07-07 14:41:18,2,3,Health Beauty
2018-05-25 22:10:13,2018-06-01 14:46:48,6,5,Electronics
2018-06-01 15:34:15,2018-06-12 16:32:33,11,4,Watches Gifts
2018-06-24 08:21:25,2018-06-27 12:58:33,3,5,Baby
2018-08-06 18:45:01,2018-08-18 11:48:58,11,1,Small Appliances
2018-07-30 18:25:18,2018-08-07 14:21:45,7,4,Stationery
2018-02-24 08:45:01,2018-03-02 21:51:59,6,1,Office Furniture
2018-08-05 11:05:53,2018-08-14 18:06:37,9,5,Baby
2018-05-02 13:17:54,2018-05-23 17:51:15,21,4,Health Beauty
2018-05-02 13:17:54,2018-05-23 17:51:15,21,4,Health Beauty
2018-08-01 13:30:12,2018-08-06 22:28:21,5,5,Furniture Decor
2018-06-14 18:37:58,2018-06-16 10:12:15,1,5,Bed Bath Table
2018-05-31 17:47:23,2018-06-15 19:14:38,15,5,Toys
2018-07-12 22:14:06,2018-07-23 17:48:39,10,5,Sports Leisure
2018-06-28 10:28:34,2018-07-23 17:54:34,25,4,Office Furniture
2018-05-04 00:12:31,2018-05-16 17:19:18,12,3,Bed Bath Table
2018-05-13 22:50:32,2018-05-18 22:46:45,4,1,Computers Accessories
2018-05-13 22:50:32,2018-05-18 22:46:45,4,1,Computers Accessories
2018-05-13 22:50:32,2018-05-18 22:46:45,4,1,Cool Stuff
2018-05-13 22:50:32,2018-05-18 22:46:45,4,1,Computers Accessories
2018-05-13 22:50:32,2018-05-18 22:46:45,4,1,Home Construction
2018-04-24 10:29:25,2018-05-04 22:19:10,10,4,Housewares
2018-06-23 19:29:12,2018-06-30 13:50:47,6,4,Telephony
2018-07-31 20:47:41,2018-08-07 19:32:24,6,5,Construction Tools Safety
2018-04-30 11:18:47,2018-05-02 20:24:30,2,5,Sports Leisure
2018-04-30 11:18:47,2018-05-02 20:24:30,2,5,Sports Leisure
2018-05-05 09:22:24,2018-05-26 00:08:34,20,4,Watches Gifts
2018-06-22 13:43:19,2018-07-06 14:23:14,14,3,Furniture Decor
2018-04-24 13:35:49,2018-05-06 16:42:23,12,5,Furniture Decor
2018-08-14 14:49:15,2018-09-01 18:14:42,18,1,Market Place
2018-05-07 15:38:06,2018-05-11 01:48:54,3,4,Construction Tools Safety
2018-07-17 21:25:29,2018-08-14 04:04:40,27,5,Auto
2018-04-09 22:02:30,2018-04-25 13:33:24,15,4,Health Beauty
2018-05-16 12:22:12,2018-06-07 15:58:37,22,5,Auto
2018-05-16 12:22:12,2018-06-07 15:58:37,22,5,Auto
2018-04-12 14:05:08,2018-05-09 15:08:44,27,5,Telephony
2018-05-14 16:18:26,2018-05-17 22:54:50,3,5,Bed Bath Table
2018-05-14 16:18:26,2018-05-17 22:54:50,3,5,Bed Bath Table
2018-08-14 16:20:40,2018-08-20 21:05:18,6,5,Perfumery
2018-05-21 12:21:48,2018-06-07 20:06:04,17,5,Computers Accessories
2018-05-28 12:53:12,2018-06-14 14:51:45,17,1,Home Construction
2018-08-10 08:35:14,2018-08-20 22:03:36,10,5,Telephony
2018-07-18 21:37:46,2018-07-26 20:44:34,7,1,Computers Accessories
2018-07-03 23:40:16,2018-07-05 22:52:28,1,5,Perfumery
2018-05-28 10:31:05,2018-06-07 12:21:51,10,5,Bed Bath Table
2018-06-30 19:46:13,2018-07-05 21:48:42,5,3,Auto
2018-04-16 13:44:10,2018-05-17 22:28:30,31,5,Electronics
2018-07-16 11:56:49,2018-07-23 14:42:45,7,5,Garden Tools
2018-06-13 09:46:14,2018-06-14 22:28:26,1,5,Garden Tools
2018-08-20 20:28:26,2018-08-25 19:04:45,4,2,Watches Gifts
2018-07-03 10:03:33,2018-07-13 16:28:52,10,5,Auto
2018-08-25 23:32:01,2018-08-28 17:36:21,2,1,Watches Gifts
2018-06-10 15:44:20,2018-06-15 17:27:44,5,5,Health Beauty
2018-05-10 11:04:45,2018-05-28 16:08:59,18,5,Watches Gifts
2018-05-12 09:58:38,2018-05-21 13:44:46,9,4,Furniture Decor
2018-08-10 14:54:25,2018-08-17 20:51:49,7,4,Other
2018-04-26 22:47:26,2018-05-15 14:15:31,18,5,Garden Tools
2018-08-17 07:59:51,2018-08-23 18:40:41,6,5,Stationery
2018-08-14 01:13:48,2018-08-16 19:58:31,2,5,Auto
2018-07-13 19:00:27,2018-07-27 16:58:54,13,3,Auto
2018-04-25 01:03:27,2018-04-30 16:03:32,5,5,Sports Leisure
2018-05-30 12:58:00,2018-06-04 22:46:39,5,5,Housewares
2018-06-19 14:58:03,2018-06-29 19:12:52,10,5,Watches Gifts
2018-08-25 22:28:18,2018-08-28 14:21:00,2,5,Toys
2018-06-11 22:04:34,2018-07-28 16:32:17,46,5,Cool Stuff
2018-06-09 12:33:46,2018-06-20 18:52:08,11,5,Sports Leisure
2018-08-11 23:28:46,2018-08-18 00:22:36,6,5,Housewares
2018-08-13 14:16:15,2018-08-17 20:58:47,4,5,Pet Shop
2018-06-30 13:24:32,2018-07-20 21:13:49,20,5,Computers Accessories
2018-08-02 22:09:44,2018-08-04 13:38:51,1,2,Fashion Bags Accessories
2018-08-02 22:09:44,2018-08-04 13:38:51,1,2,Fashion Bags Accessories
2018-04-23 17:41:34,2018-04-27 21:44:40,4,5,Furniture Decor
2018-04-23 17:41:34,2018-04-27 21:44:40,4,5,Furniture Decor
2018-08-09 11:37:35,2018-08-14 18:51:47,5,5,Perfumery
2018-07-04 11:38:50,2018-07-06 17:18:32,2,5,Toys
2018-07-17 20:00:31,2018-07-24 21:51:36,7,5,Furniture Decor
2018-08-12 15:54:57,2018-08-22 22:04:10,10,4,Health Beauty
2018-08-23 14:56:46,2018-08-30 15:06:32,7,5,Consoles Games
2018-06-10 20:41:15,2018-06-16 17:02:32,5,1,Pet Shop
2018-05-16 12:43:12,2018-06-06 22:33:07,21,5,Watches Gifts
2018-06-12 15:56:30,2018-06-28 13:17:47,15,5,Small Appliances
2018-05-11 13:51:46,2018-05-21 20:33:55,10,5,Stationery
2018-06-10 19:01:57,2018-06-22 14:22:44,11,5,Computers Accessories
2018-05-10 11:15:21,2018-05-16 16:36:44,6,1,Furniture Decor
2018-05-10 11:15:21,2018-05-16 16:36:44,6,1,Furniture Decor
2018-06-28 12:22:47,2018-07-11 13:48:21,13,5,Sports Leisure
2018-08-03 19:03:39,2018-08-07 14:57:28,3,5,Kitchen Dining Laundry Garden Furniture
2018-07-19 17:24:35,2018-08-02 00:17:47,13,5,Toys
2018-06-25 17:26:38,2018-07-05 17:28:53,10,5,Health Beauty
2018-06-02 09:23:01,2018-07-09 18:51:08,37,1,Watches Gifts
2018-08-22 00:51:48,2018-08-29 23:12:06,7,5,Bed Bath Table
2018-05-01 09:25:32,2018-05-18 21:34:38,17,5,Sports Leisure
2018-06-03 18:15:19,2018-06-10 16:28:43,6,5,Bed Bath Table
2018-07-20 09:42:40,2018-07-27 11:54:15,7,5,Drinks
2018-07-26 13:59:29,2018-08-17 12:41:34,21,5,Housewares
2018-05-17 07:39:35,2018-06-05 13:48:32,19,1,Watches Gifts
2018-05-16 14:15:12,2018-05-23 18:31:41,7,1,Furniture Decor
2018-07-25 10:16:15,2018-07-30 17:29:34,5,5,Perfumery
2018-07-25 10:16:15,2018-07-30 17:29:34,5,5,Health Beauty
2018-07-01 18:07:57,2018-07-07 15:47:40,5,5,Pet Shop
2018-08-02 18:09:34,2018-08-08 13:39:34,5,5,Health Beauty
2018-08-03 00:00:21,2018-08-08 00:48:42,5,4,Watches Gifts
2018-05-03 15:12:22,2018-06-07 20:03:26,35,5,Garden Tools
2018-06-28 00:27:12,2018-07-05 22:17:57,7,5,Computers Accessories
2018-05-12 13:38:34,2018-05-23 17:32:53,11,5,Health Beauty
2018-04-21 14:18:28,2018-05-07 18:57:38,16,5,Housewares
2018-04-21 14:18:28,2018-05-07 18:57:38,16,5,Housewares
2018-07-18 10:44:11,2018-07-24 14:48:40,6,4,Electronics
2018-06-15 08:26:16,2018-06-26 19:41:45,11,5,Health Beauty
2018-06-05 20:29:13,2018-06-20 14:16:32,14,5,Baby
2018-06-01 22:35:25,2018-06-07 21:33:59,5,4,Baby
2018-07-16 16:33:17,2018-07-20 19:57:58,4,5,Telephony
2018-05-19 22:43:35,2018-05-23 18:14:45,3,5,Computers Accessories
2018-07-24 21:54:54,2018-07-26 19:58:43,1,1,Toys
2018-06-18 23:30:33,2018-06-20 18:38:54,1,5,Watches Gifts
2018-07-25 17:11:06,2018-07-30 10:52:29,4,5,Cool Stuff
2018-04-10 23:03:58,2018-04-24 22:36:51,13,5,Health Beauty
2018-08-10 13:14:02,2018-08-15 16:21:25,5,5,Telephony
2018-07-21 07:18:52,2018-07-26 16:36:47,5,3,Watches Gifts
2018-05-01 22:57:35,2018-05-04 14:17:01,2,5,Toys
2018-06-16 11:12:18,2018-06-20 00:34:44,3,5,Health Beauty
2018-05-07 21:52:03,2018-06-01 17:56:46,24,1,Telephony
2018-04-30 02:18:32,2018-05-08 17:53:51,8,5,Perfumery
2018-04-29 16:03:47,2018-05-11 23:12:12,12,5,Pet Shop
2018-06-11 20:19:30,2018-06-18 16:22:11,6,3,Health Beauty
2018-06-18 16:28:35,2018-06-26 19:38:36,8,5,Sports Leisure
2018-06-18 16:28:35,2018-06-26 19:38:36,8,5,Sports Leisure
2018-07-18 12:19:12,2018-07-23 21:30:35,5,5,Computers Accessories
2018-05-06 21:42:44,2018-05-14 14:03:45,7,5,Furniture Decor
2018-06-26 15:00:56,2018-07-13 20:48:26,17,5,Bed Bath Table
2018-07-17 09:42:13,2018-07-24 23:39:44,7,5,Watches Gifts
2018-05-16 10:58:56,2018-05-18 20:22:23,2,2,Furniture Decor
2018-05-16 10:58:56,2018-05-18 20:22:23,2,2,Furniture Decor
2018-05-16 10:58:56,2018-05-18 20:22:23,2,2,Musical Instruments
2018-05-18 14:14:10,2018-06-08 11:33:30,20,5,Home Appliances
2018-05-05 14:20:42,2018-05-09 20:21:54,4,5,Sports Leisure
2018-05-05 14:20:42,2018-05-09 20:21:54,4,5,Sports Leisure
2018-04-04 22:14:05,2018-05-09 17:11:28,34,1,Watches Gifts
2018-05-16 22:27:03,2018-05-21 22:06:30,4,3,Electronics
2018-06-04 15:55:39,2018-06-09 17:22:29,5,4,Housewares
2018-08-07 10:39:04,2018-08-15 15:58:35,8,5,Auto
2018-08-05 11:07:44,2018-08-17 19:41:09,12,5,Books General Interest
2018-07-20 17:07:51,2018-07-25 19:46:49,5,3,Watches Gifts
2018-06-29 17:25:43,2018-07-13 18:08:34,14,5,Pet Shop
2018-07-18 16:59:04,2018-07-23 20:21:28,5,5,Bed Bath Table
2018-06-27 16:57:28,2018-06-29 20:12:29,2,5,Kitchen Dining Laundry Garden Furniture
2018-04-15 15:25:22,2018-04-20 18:26:47,5,5,Baby
2018-05-27 03:04:57,2018-06-20 17:05:16,24,5,Bed Bath Table
2018-06-19 11:47:02,2018-07-03 15:56:45,14,3,Auto
2018-04-15 17:15:57,2018-06-07 22:06:45,53,1,Bed Bath Table
2018-07-19 16:24:20,2018-07-26 11:41:56,6,5,Food
2018-04-14 18:24:57,2018-04-23 18:45:46,9,5,Bed Bath Table
2018-06-05 13:33:19,2018-06-13 16:56:28,8,5,Housewares
2018-08-08 01:15:06,2018-08-15 00:18:43,6,5,Health Beauty
2018-07-20 10:32:03,2018-07-31 20:14:45,11,4,Garden Tools
2018-04-14 20:31:48,2018-05-09 19:03:20,24,5,Sports Leisure
2018-08-22 22:04:26,2018-08-30 15:52:47,7,5,Electronics
2018-04-13 14:37:55,2018-04-26 20:11:02,13,5,Sports Leisure
